Column,YEAR,SOCIETY,1L_MS,2L_MS,3L_MS,NO_MS,Name_Ac_Title,Names,Names_Reconciled,Geburtsdatum,Sterbedatum,GND-Nummer,Place,Place_Reconciled,Place_Qid,Place_Coordinates,Country,Occupation,Original_LINE
"
41,1873,GEG,OM,HL,IN,20,,C. Ferrieri,C. Ferrieri,,,,,Tartu,Q13972,"58.38,26.7225",,," C. Ferrieri.| 
"
42,1873,GEG,OM,HL,IN,21,,Th. Gööck,"Gööck, Theodor",,,,,Tartu,Q13972,"58.38,26.7225",,Director des Gymnasiums," Th. Gööck,| Director des Gymnasiums. 
"
43,1873,GEG,OM,HL,IN,22,,W. Gläser,Willem Glaser,,,,,Tartu,Q13972,"58.38,26.7225",,Buchdrucker und Verleger," W. Gläser,| Buchdrucker und Verleger. 
"
44,1873,GEG,OM,HL,IN,23,,H. E. Hartmann,"Hartmann, Heidrun E. K.",,,,,Tartu,Q13972,"58.38,26.7225",,," H. E. Hartmann.| 
"
45,1873,GEG,OM,HL,IN,24,Mag.,R. Hausmann,"Hausmann, Richard",,,,,Tartu,Q13972,"58.38,26.7225",,Do. der Geschichte," Mag. R. Hausmann,| Do:, der Geschichte. 
"
46,1873,GEG,OM,HL,IN,25,,Fr. Hollmann,Fr. Hollmann,,,,,Tartu,Q13972,"58.38,26.7225",,Seminar-Director," Fr. Hollmann,| Seminar-Director. 
"
47,1873,GEG,OM,HL,IN,26,,I. W. Jansen,I. W. Jansen,,,,,Tartu,Q13972,"58.38,26.7225",,Redacteur," I. W. Jansen,| Redacteur. 
"
48,1873,GEG,OM,HL,IN,27,,C. F. Janter,C. F. Janter,,,,,Tartu,Q13972,"58.38,26.7225",,dim. Pastor," C. F. Janter.| dim. Pastor. 
"
49,1873,GEG,OM,HL,IN,28,,C. Körber,"Körber, C.",,,,,Tartu,Q13972,"58.38,26.7225",,dim. Pastor," C. Körber,| dim. Pastor. 
"
50,1873,GEG,OM,HL,IN,29,,H. Kuchczynski,H. Kuchczynski,,,,,Tartu,Q13972,"58.38,26.7225",,stud. hist.," H. Kuchczynski,| stud. bist. 
"
51,1873,GEG,OM,HL,IN,30,,Georg Knüpffer,Georg Martin Knüpffer,,,,,Tartu,Q13972,"58.38,26.7225",,stud. theol.," Georg Knüpffer,| stud. theol. 
"
52,1873,GEG,OM,HL,IN,31,,A. Kurrikoff,A. Kurrikoff,,,,,Tartu,Q13972,"58.38,26.7225",,stud. theol.," A. Kurrikoff,| stud. theol. 
"
53,1873,GEG,OM,HL,IN,32,,H. Laafmann,H. Laafmann,,,,,Tartu,Q13972,"58.38,26.7225",,Buchdrucker und Verleger," H. Laafmann,| Buchdrucker und Verleger. 
"
54,1873,GEG,OM,HL,IN,33,Cand.,I. G. Ludwins,I. G. Ludwins,,,,,Tartu,Q13972,"58.38,26.7225",,Coll.-Assessor," Cand. I. G. Ludwins,| Coll.«Assessor. 
"
55,1873,GEG,OM,HL,IN,34,,C. von Lanting,C. von Lanting,,,,,Tartu,Q13972,"58.38,26.7225",,," C. v. Lanting.| 
"
56,1873,GEG,OM,HL,IN,35,Dr.,E. Mattiesen,E. Mattiesen,,,,,Tartu,Q13972,"58.38,26.7225",,Redacteur," Dr. E. Mattiese «,| Redacteur. 
"
57,1873,GEG,OM,HL,IN,36,,I. Baron Maydell-Krüdnershos,I. Baron Maydell-Krüdnershos,,,,,Tartu,Q13972,"58.38,26.7225",,dim. Kreisrichter," I.BaronMaydell -Krüdnershos,|dirn.Kreis-richter. 
"
58,1873,GEG,OM,HL,IN,37,,C. von Zur Mühlen,C. von Zur Mühlen,,,,,Tartu,Q13972,"58.38,26.7225",,Director des Credit-Systems," C. von Zur«Mühlen,| Director des Credit-Systems. 
"
59,1873,GEG,OM,HL,IN,38,,C. Mickwitz,C. Mickwitz,,,,,Tartu,Q13972,"58.38,26.7225",,Jnspector des Gymnasiums.," C. Mickwitz,| Jnspector des Gymnasiums. 
